UKC11,5405
UKC12,4641
UKC13,2591
UKC14,8042
UKC21,5029
UKC22,18224
UKC23,5745
UKD11,5145
UKD12,6055
UKD33,17030
UKD34,13394
UKD35,9603
UKD36,9524
UKD37,10054
UKD41,2726
UKD42,2146
UKD44,4277
UKD45,10266
UKD46,5517
UKD47,4082
UKD61,6505
UKD62,12130
UKD63,8966
UKD71,9843
UKD72,10907
UKD73,4042
UKD74,4661
UKE11,5129
UKE12,5990
UKE13,6683
UKE32,11300
UKE41,9504
UKE42,21260
UKE44,11573
UKE45,6621
UKF11,6932
UKF12,5162
UKF13,9216
UKF14,8816
UKF15,8147
UKF16,5817
UKF21,7473
UKF22,16186
UKF24,9743
UKF25,6527
UKF30,13869
UKG11,3883
UKG12,11796
UKG13,15119
UKG21,3633
UKG22,6009
UKG23,4763
UKG24,15225
UKG31,24790
UKG32,6672
UKG33,7655
UKG36,4988
UKG37,5847
UKG38,4765
UKG39,4625
UKH11,5382
UKH12,18832
UKH14,16901
UKH15,8499
UKH16,4742
UKH17,5304
UKH23,33864
UKH24,3842
UKH25,5342
UKH32,3270
UKH34,9191
UKH35,7468
UKH36,7794
UKH37,7200
UKI31,73161
UKI32,53573
UKI33,21047
UKI34,9504
UKI44,19844
UKI45,11265
UKI54,6599
UKI74,17773
UKI75,17190
UKJ14,21887
UKJ26,12239
UKJ27,9292
UKJ28,11799
UKJ34,2473
UKJ35,10131
UKJ36,15256
UKJ37,11157
UKJ44,9034
UKJ45,6642
UKJ46,9952
UKK13,15967
UKK14,6682
UKK15,10628
UKK23,11148
UKK42,2081
UKK43,15850
UKL12,2317
UKL13,3370
UKL14,6027
UKL15,4578
UKL16,4673
UKL17,4921
UKL18,4503
UKL22,11044
UKL23,6197
UKL24,2251
UKM22,7496
UKM23,2881
UKM24,1961
UKM25,18437
UKM26,2908
UKM27,5472
UKM28,3578
UKM31,3503
UKM32,2802
UKM33,3834
UKM34,19624
UKM35,6593
UKM36,6440
UKM37,2464
UKM38,5784
UKM50,18081
UKM61,1730
UKM62,4769
UKM63,2168
UKM64,460
UKM65,446
UKM66,630
UKN01,9982
UKN02,5823
UKN03,7661
UKN04,4073
